dist exact
0.300000 -0.601804
0.314765 -0.665533
0.329530 -0.721794
0.344295 -0.771583
0.359060 -0.815736
0.373826 -0.854957
0.388591 -0.889840
0.403356 -0.920895
0.418121 -0.948557
0.432886 -0.973201
0.447651 -0.995152
0.462416 -1.014693
0.477181 -1.032069
0.491946 -1.047497
0.506711 -1.061167
0.521477 -1.073249
0.536242 -1.083891
0.551007 -1.093228
0.565772 -1.101378
0.580537 -1.108450
0.595302 -1.114540
0.610067 -1.119735
0.624832 -1.124116
0.639597 -1.127753
0.654362 -1.130712
0.669128 -1.133054
0.683893 -1.134833
0.698658 -1.136098
0.713423 -1.136896
0.728188 -1.137268
0.742953 -1.137251
0.757718 -1.136882
0.772483 -1.136192
0.787248 -1.135210
0.802013 -1.133963
0.816779 -1.132475
0.831544 -1.130770
0.846309 -1.128866
0.861074 -1.126784
0.875839 -1.124540
0.890604 -1.122150
0.905369 -1.119629
0.920134 -1.116990
0.934899 -1.114245
0.949664 -1.111405
0.964430 -1.108481
0.979195 -1.105483
0.993960 -1.102420
1.008725 -1.099300
1.023490 -1.096131
1.038255 -1.092921
1.053020 -1.089676
1.067785 -1.086403
1.082550 -1.083108
1.097315 -1.079796
1.112081 -1.076474
1.126846 -1.073147
1.141611 -1.069819
1.156376 -1.066495
1.171141 -1.063180
1.185906 -1.059878
1.200671 -1.056592
1.215436 -1.053327
1.230201 -1.050086
1.244966 -1.046872
1.259732 -1.043689
1.274497 -1.040539
1.289262 -1.037426
1.304027 -1.034352
1.318792 -1.031319
1.333557 -1.028330
1.348322 -1.025386
1.363087 -1.022490
1.377852 -1.019643
1.392617 -1.016847
1.407383 -1.014103
1.422148 -1.011413
1.436913 -1.008777
1.451678 -1.006197
1.466443 -1.003673
1.481208 -1.001206
1.495973 -0.998796
1.510738 -0.996445
1.525503 -0.994152
1.540268 -0.991917
1.555034 -0.989741
1.569799 -0.987623
1.584564 -0.985564
1.599329 -0.983562
1.614094 -0.981619
1.628859 -0.979732
1.643624 -0.977902
1.658389 -0.976129
1.673154 -0.974411
1.687919 -0.972747
1.702685 -0.971138
1.717450 -0.969582
1.732215 -0.968078
1.746980 -0.966625
1.761745 -0.965223
1.776510 -0.963870
1.791275 -0.962566
1.806040 -0.961308
1.820805 -0.960097
1.835570 -0.958930
1.850336 -0.957808
1.865101 -0.956728
1.879866 -0.955690
1.894631 -0.954692
1.909396 -0.953733
1.924161 -0.952813
1.938926 -0.951929
1.953691 -0.951081
1.968456 -0.950268
1.983221 -0.949488
1.997987 -0.948741
2.012752 -0.948024
2.027517 -0.947339
2.042282 -0.946682
2.057047 -0.946053
2.071812 -0.945452
2.086577 -0.944876
2.101342 -0.944326
2.116107 -0.943799
2.130872 -0.943296
2.145638 -0.942816
2.160403 -0.942356
2.175168 -0.941918
2.189933 -0.941499
2.204698 -0.941099
2.219463 -0.940717
2.234228 -0.940353
2.248993 -0.940005
2.263758 -0.939673
2.278523 -0.939357
2.293289 -0.939055
2.308054 -0.938767
2.322819 -0.938493
2.337584 -0.938231
2.352349 -0.937982
2.367114 -0.937744
2.381879 -0.937518
2.396644 -0.937303
2.411409 -0.937097
2.426174 -0.936901
2.440940 -0.936715
2.455705 -0.936538
2.470470 -0.936369
2.485235 -0.936208
2.500000 -0.936055
